Rank,Country,latitude,longitude
1,Burundi,-3.373056,29.918886
2,Central African Rep.,6.611111	20.939444
3,DR Congo,-0.228021,15.827659
4,South Sudan**,7.8626845,29.6949232
5,Somalia,5.152149,46.199616
6,Niger,17.607789,8.081666
7,Mozambique,-18.665695,35.529562
8,Liberia,6.428055,-9.429499
9,Madagascar,-18.766947,46.869107
10,Malawi,-13.254308,34.301525
11,Chad,15.454166,18.732207
12,Eritrea****,15.179384,39.782334
13,Sierra Leone,8.460555,-11.779889
14,Guinea-Bissau,11.803749,-15.180413
15,Afghanistan,33.93911,67.709953
16,Rwanda,-1.940278,29.873888
17,Togo,8.619543,0.824782
18,Burkina Faso,12.238333,-1.561593
19,Gambia,13.443182,-15.310139
20,Uganda,1.373333,32.290275
21,Mali,17.570692,-3.996166
22,Kiribati,-3.370417,-168.734039
23,Ethiopia,9.145,40.489673
24,Lesotho,-29.609988,28.233608
25,Solomon Islands,-9.64571,160.156194
26,Tanzania,-6.369028,34.888822
27,Guinea,9.945587,-9.696645
28,Vanuatu,-15.376706,166.959158
29,Haiti,18.971187,-72.285215
30,Comoros,-11.875001	43.872219
31,Zambia,-13.133897,27.849332
32,Senegal,14.497401,-14.452362
33,Benin,9.30769,2.315834
34,Zimbabwe,-19.015438,29.154857
35,Micronesia,7.425554	150.550812
36,Congo,-4.038333,21.758664
37,Yemen***,15.552727,48.516388
38,Tajikistan,38.861034,71.276093
39,Cameroon,7.369722,12.354722
40,Nepal,28.394857,84.124008
41,Timor-Leste,-8.874217,125.727539
42,Sudan,12.862807,30.217636
43,Marshall Islands,7.131474,171.184478
44,Sao Tome & Principe,0.18636,6.613081
45,Papua New Guinea,-6.314993,143.95555
46,Cambodia,12.565679,104.990963
47,Kenya,-0.023559,37.906193
48,Tuvalu,-7.109535,177.64933
49,Pakistan,30.375321,69.345116
50,Kyrgyzstan,41.20438,74.766098
